# Exp data from Driver and Seegmiller, bottom wall
# x means x/H
variables="x","cf","error"
-3.956  2.88e-3  .202e-3
-1.804  2.85e-3  .171e-3
-.804   3.11e-3  .311e-3
.484     .09e-3  .014e-3
1.804   -.11e-3  .019e-3
2.804   -.52e-3  .109e-3
3.804  -1.02e-3  .163e-3
4.804   -.82e-3  .123e-3
5.882   -.22e-3  .062e-3
7.090    .45e-3  .167e-3
7.978   1.02e-3  .122e-3
9.196   1.18e-3  .106e-3
11.196  1.54e-3  .123e-3
13.196  1.73e-3  .121e-3
16.196  1.91e-3  .134e-3
20.196  2.02e-3  .141e-3
24.136  2.04e-3  .143e-3
28.130  2.05e-3  .205e-3
32.196  2.12e-3  .148e-3
35.994  2.30e-3  .184e-3
